name,domain
MI_4PointStar,Surface
MI_4PointStar_2,Surface
MI_5PointStar_V2,Surface
MI_5pointStar,Surface
MI_7Seg,Surface
MI_BreakGlassTransition,PostProcess
MI_Caustic,Surface
MI_Checker,Surface
MI_Checker2,Surface
MI_CherryBloosom,Surface
MI_CherryBlossom_V2,Surface
MI_Circle,Surface
MI_CircleGauge,Surface
MI_Circle_AA,Surface
MI_CrossMark,Surface
MI_CrossMark_V2,Surface
MI_Dot_Fade,Surface
MI_ECG,Surface
MI_ExclamationMark,Surface
MI_Gear,Surface
MI_Ginkgo,Surface
MI_Grid,Surface
MI_Halftone_Transition,Surface
MI_Heart,Surface
MI_Hex,Surface
MI_HexTiling,Surface
MI_HexTiling_V3,Surface
MI_Hex_Fade,Surface
MI_Hex_Random_Fade,Surface
MI_Hex_Random_Noise,Surface
MI_Hex_Tiling_Dissolve,Surface
MI_Hex_V2,Surface
MI_JapaneseMapleLeaf,Surface
MI_Loading_Icon,Surface
MI_Loading_Icon_V3,UI
MI_Outline,Surface
MI_PP_SliceTransition,PostProcess
MI_PP_SpiralWipe,PostProcess
MI_PP_VortexDrainTransition,PostProcess
MI_Polygon,Surface
MI_Polygon_AA,Surface
MI_Posion,Surface
MI_Rader_Chart,UI
MI_Rect_Transtition,Surface
MI_Rectangle,Surface
MI_Rhombus,Surface
MI_Rhombus2,Surface
MI_Ring,Surface
MI_RoundedRectangle,Surface
MI_Sci-fi_Circle,Surface
MI_Sci-fi_Ring,Surface
MI_Sci-fi_Tunnel,Surface
MI_SnowFlake,Surface
MI_SnowFlake_V2,Surface
MI_SpeedLine,Surface
MI_Spiral,Surface
MI_Square,Surface
MI_Star,Surface
MI_Swirl_Transition,Surface
MI_Swirl_Transition_V2,Surface
MI_Transition_Square,Surface
MI_TriangleTiling,Surface
MI_Triangle_Animation,Surface
MI_Triangle_Tilling_Dissolve,Surface
MI_UI_ZZZ_HP_Gauge,Surface
MI_Warp_Effect,Surface
MI_YinYang,Surface
M_14Seg,Surface
M_2DLemon,UI
M_2D_Liquid,Surface
M_4PointStar,Surface
M_4PointStar2,Surface
M_5PointStar_V2,Surface
M_5pointStar,Surface
M_7Seg,Surface
M_BreakGlassTransition,PostProcess
M_Burn_Transition,Surface
M_Caustic,Surface
M_Checker,Surface
M_Checker2,Surface
M_CherryBloosom,Surface
M_CherryBlossom_V2,Surface
M_CinematicSnow,Surface
M_Circle,Surface
M_CircleGauge,Surface
M_Circle_AA,Surface
M_CrossMark,Surface
M_CrossMark_V2,Surface
M_Dot_Fade,Surface
M_ECG,Surface
M_ExclamationMark,Surface
M_Flare,Surface
M_Flare_V2,Surface
M_Flip_Transition,Surface
M_Gear,Surface
M_Ginkgo,Surface
M_Glitch,Surface
M_Grid,Surface
M_HalfTone_V2,Surface
M_Half_Tone_Transition,PostProcess
M_Halftone_Transition_V2,Surface
M_HazardMark,Surface
M_Heart,Surface
M_Heart_SDF,Surface
M_Hex,Surface
M_HexTiling,Surface
M_HexTiling_V3,Surface
M_Hex_Animation,Surface
M_Hex_Animation_V3,Surface
